Metric,Mean,Std,Min,Max,Mean ± Std
RV_Dice,0.839340925,0.018699173584673934,0.8157091,0.86036592,0.8393 ± 0.0187
RV_HD95,6.4635916975,5.082726700983342,2.77213885,13.97841505,6.4636 ± 5.0827
RV_ASD,1.9584438400000002,1.3360850921561527,0.92103705,3.91895277,1.9584 ± 1.3361
Myo_Dice,0.84070048,0.0046063109611850376,0.83692368,0.84649661,0.8407 ± 0.0046
Myo_HD95,4.7927782875,1.6045407825450944,3.55065887,7.14979073,4.7928 ± 1.6045
Myo_ASD,1.7193337825,0.33943472500915467,1.34874629,2.16738055,1.7193 ± 0.3394
LV_Dice,0.8954154325,0.010045428608534263,0.88195194,0.90368747,0.8954 ± 0.0100
LV_HD95,10.86915598,2.5047933202543686,8.79563708,14.21100082,10.8692 ± 2.5048
LV_ASD,2.8143258275000003,0.8733070809072234,2.01826546,4.04302316,2.8143 ± 0.8733
mean_Dice,0.8584856125,0.01078713775006811,0.8449097499999999,0.8697737966666667,0.8585 ± 0.0108
mean_HD95,7.375175321666667,2.9398595378042036,5.8032625300000005,11.779735533333335,7.3752 ± 2.9399
mean_ASD,2.1640344833333334,0.8124988081551425,1.6442788233333332,3.3764521599999995,2.1640 ± 0.8125
